[ 2026-04-08 12:02:47,786 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-08 12:02:53,402 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-08 12:02:53,402 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-08 12:02:53,403 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-08 12:02:53,435 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-08 12:02:53,435 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-08 12:02:53,438 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-08 12:02:53,534 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 12:02:53,539 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 12:02:53,539 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 12:02:53,539 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 12:02:53,644 ] 28 root - INFO - data Validation Completed
[ 2026-04-08 12:02:53,644 ] 31 root - INFO - data Transformation started
[ 2026-04-08 12:02:53,644 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-08 12:02:53,644 ] 65 root - INFO - Starting data transformation
[ 2026-04-08 12:02:53,662 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-08 12:02:53,662 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-08 12:02:53,674 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 12:02:53,676 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 12:02:53,676 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 12:02:53,679 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 12:02:53,681 ] 35 root - INFO - data Transformation completed
[ 2026-04-08 12:02:53,681 ] 37 root - INFO - Model Training sstared
[ 2026-04-08 12:05:08,582 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 12:05:08,588 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 12:05:08,588 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-08 12:05:08,594 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-08 12:05:08,594 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_08_2026_12_02_45\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.990006118702835, precision_score=0.9883934025656689, recall_score=0.9916241062308478), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.978756884343037, precision_score=0.971875, recall_score=0.9857369255150554))
[ 2026-04-08 12:05:08,595 ] 42 root - INFO - Model Training artifact created
